date,weekday,weekday_name,is_holiday,holiday_name,avg_temp_c,min_temp_c,max_temp_c,요일_월,요일_화,요일_수,요일_목,요일_금,요일_토,요일_일,주말여부,휴일여부,평일여부,봄,여름,가을,겨울,월,일
2025-02-09,6,일,1,일요일,-3.9,-9.8,2.6,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,9
2025-02-10,0,월,0,,-2.6,-7.6,3.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,10
2025-02-11,1,화,0,,0.3,-7.1,9.3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,11
2025-02-12,2,수,0,,1.1,-1.6,4.4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,12
2025-02-13,3,목,0,,1.1,-4.4,7.4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,13
2025-02-14,4,금,0,,3.5,-3.1,11.1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,14
2025-02-15,5,토,1,토요일,2.9,-2.9,8.6,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,15
2025-02-16,6,일,1,일요일,5.1,-0.7,11.9,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,16
2025-02-17,0,월,0,,1.3,-2.2,6.8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,17
2025-02-18,1,화,0,,-0.9,-4.5,4.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,18
2025-02-19,2,수,0,,-1.6,-6.6,4.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,19
2025-02-20,3,목,0,,-1.9,-6.8,4.2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,20
2025-02-21,4,금,0,,-1.5,-6.5,4.3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,21
2025-02-22,5,토,1,토요일,-1.0,-5.4,4.1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,22
2025-02-23,6,일,1,일요일,-2.7,-6.8,2.1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,23
2025-02-24,0,월,0,,-0.7,-7.2,6.4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,24
2025-02-25,1,화,0,,1.7,-5.3,7.6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,25
2025-02-26,2,수,0,,5.3,0.4,11.8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,26
2025-02-27,3,목,0,,6.6,-3.5,17.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,27
2025-02-28,4,금,0,,9.8,5.4,17.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,28
2025-03-01,5,토,1,3ㆍ1절|토요일,6.3,1.7,8.7,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,1
2025-03-02,6,일,1,일요일,9.7,5.0,17.4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,2
2025-03-03,0,월,1,대체공휴일(3ㆍ1절),3.5,1.1,7.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3
2025-03-04,1,화,0,,3.4,1.6,5.7,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,4
2025-03-05,2,수,0,,5.5,3.4,9.1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,5
2025-03-06,3,목,0,,5.1,0.6,11.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,6
2025-03-07,4,금,0,,5.6,-1.6,12.7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,7
2025-03-08,5,토,1,토요일,6.2,3.0,11.1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,8
2025-03-09,6,일,1,일요일,6.8,-0.7,15.0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,9
2025-03-10,0,월,0,,8.2,0.7,16.8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,10
2025-03-11,1,화,0,,9.8,1.0,18.6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,11
2025-03-12,2,수,0,,9.6,4.5,16.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,12
2025-03-13,3,목,0,,10.3,4.6,17.3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,13
2025-03-14,4,금,0,,12.9,3.7,21.5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,14
2025-03-15,5,토,1,토요일,9.8,7.1,14.2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,15
2025-03-16,6,일,1,일요일,4.5,0.5,7.5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,16
2025-03-17,0,월,0,,3.8,-0.9,9.6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,17
2025-03-18,1,화,0,,1.2,-0.2,3.3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,18
2025-03-19,2,수,0,,3.2,-2.1,9.1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,19
2025-03-20,3,목,0,,7.6,-1.2,15.6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,20
2025-03-21,4,금,0,,12.8,8.0,21.3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,21
2025-03-22,5,토,1,토요일,14.9,7.5,22.8,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,22
2025-03-23,6,일,1,일요일,16.6,6.9,26.4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,23
2025-03-24,0,월,0,,16.6,12.2,22.2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,24
2025-03-25,1,화,0,,15.4,10.5,25.8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,25
2025-03-26,2,수,0,,18.5,6.0,29.3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,26
2025-03-27,3,목,0,,16.1,7.2,21.5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,27
2025-03-28,4,금,0,,7.5,4.5,12.8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,28
2025-03-29,5,토,1,토요일,3.9,0.3,9.1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,29
2025-03-30,6,일,1,일요일,4.4,-1.5,9.7,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,30
2025-03-31,0,월,0,,8.1,1.3,14.6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,31
2025-04-01,1,화,0,,10.3,1.9,18.9,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,1
2025-04-02,2,수,0,,9.6,3.0,18.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,2
2025-04-03,3,목,0,,10.3,3.3,18.3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,3
2025-04-04,4,금,0,,11.7,7.0,18.9,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,4
2025-04-05,5,토,1,토요일,9.4,7.3,14.7,0,0,0,0,0,1,0,1,1,0,1,0,0,0,4,5
2025-04-06,6,일,1,일요일,10.7,4.7,18.5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,6
2025-04-07,0,월,0,,13.8,3.2,21.8,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,7
2025-04-08,1,화,0,,15.6,9.8,21.6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,8
2025-04-09,2,수,0,,13.9,5.6,21.7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,9
2025-04-10,3,목,0,,14.0,10.0,19.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,10
