month,weekday,weekday_name,station,hour,direction,traffic,area,density,area_per_person,los_grade,latitude,longitude,order,los_priority
1,0,월,갈마역,18,승차,161.5,1991.4999999999998,0,147.9752321981424,A,36.35767777,127.372971,13,1
1,0,월,갈마역,19,승차,90.75,1991.4999999999998,0,263.3388429752066,A,36.35767777,127.372971,13,1
1,0,월,갈마역,20,승차,70.75,1991.4999999999998,0,337.78091872791515,A,36.35767777,127.372971,13,1
1,0,월,갈마역,21,승차,71.25,1991.4999999999998,0,335.4105263157894,A,36.35767777,127.372971,13,1
1,0,월,갈마역,22,승차,40.0,1991.4999999999998,0,597.4499999999999,A,36.35767777,127.372971,13,1
1,0,월,갈마역,23,승차,29.25,1991.4999999999998,0,817.0256410256409,A,36.35767777,127.372971,13,1
1,0,월,갈마역,0,승차,2.0,1991.4999999999998,0,11949.0,A,36.35767777,127.372971,13,1
1,0,월,갈마역,1,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,0,월,갈마역,2,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,6,일,갈마역,3,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,6,일,갈마역,4,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,6,일,갈마역,5,승차,33.5,1991.4999999999998,0,713.3731343283582,A,36.35767777,127.372971,13,1
1,6,일,갈마역,6,승차,47.75,1991.4999999999998,0,500.4816753926701,A,36.35767777,127.372971,13,1
1,6,일,갈마역,7,승차,51.0,1991.4999999999998,0,468.58823529411757,A,36.35767777,127.372971,13,1
1,6,일,갈마역,8,승차,100.5,1991.4999999999998,0,237.79104477611938,A,36.35767777,127.372971,13,1
1,6,일,갈마역,9,승차,137.5,1991.4999999999998,0,173.80363636363637,A,36.35767777,127.372971,13,1
1,6,일,갈마역,10,승차,163.0,1991.4999999999998,0,146.61349693251535,A,36.35767777,127.372971,13,1
1,6,일,갈마역,11,승차,152.75,1991.4999999999998,0,156.4517184942717,A,36.35767777,127.372971,13,1
1,6,일,갈마역,12,승차,142.0,1991.4999999999998,0,168.29577464788733,A,36.35767777,127.372971,13,1
1,6,일,갈마역,13,승차,160.5,1991.4999999999998,0,148.89719626168224,A,36.35767777,127.372971,13,1
1,6,일,갈마역,14,승차,144.5,1991.4999999999998,0,165.3840830449827,A,36.35767777,127.372971,13,1
1,6,일,갈마역,15,승차,137.5,1991.4999999999998,0,173.80363636363637,A,36.35767777,127.372971,13,1
1,6,일,갈마역,16,승차,124.75,1991.4999999999998,0,191.56713426853707,A,36.35767777,127.372971,13,1
1,6,일,갈마역,17,승차,131.0,1991.4999999999998,0,182.42748091603053,A,36.35767777,127.372971,13,1
1,6,일,갈마역,18,승차,108.0,1991.4999999999998,0,221.27777777777774,A,36.35767777,127.372971,13,1
1,6,일,갈마역,19,승차,95.5,1991.4999999999998,0,250.24083769633506,A,36.35767777,127.372971,13,1
1,6,일,갈마역,20,승차,59.5,1991.4999999999998,0,401.6470588235294,A,36.35767777,127.372971,13,1
1,6,일,갈마역,21,승차,50.25,1991.4999999999998,0,475.58208955223876,A,36.35767777,127.372971,13,1
1,6,일,갈마역,22,승차,26.0,1991.4999999999998,0,919.1538461538461,A,36.35767777,127.372971,13,1
1,6,일,갈마역,23,승차,28.0,1991.4999999999998,0,853.5,A,36.35767777,127.372971,13,1
1,6,일,갈마역,0,승차,0.75,1991.4999999999998,0,31863.999999999996,A,36.35767777,127.372971,13,1
1,6,일,갈마역,1,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,6,일,갈마역,2,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,5,토,갈마역,3,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,5,토,갈마역,4,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,5,토,갈마역,5,승차,54.25,1991.4999999999998,0,440.51612903225805,A,36.35767777,127.372971,13,1
1,5,토,갈마역,6,승차,60.75,1991.4999999999998,0,393.3827160493827,A,36.35767777,127.372971,13,1
1,5,토,갈마역,7,승차,120.25,1991.4999999999998,0,198.73596673596674,A,36.35767777,127.372971,13,1
1,5,토,갈마역,8,승차,167.75,1991.4999999999998,0,142.46199701937405,A,36.35767777,127.372971,13,1
1,5,토,갈마역,9,승차,185.5,1991.4999999999998,0,128.83018867924528,A,36.35767777,127.372971,13,1
1,5,토,갈마역,10,승차,195.75,1991.4999999999998,0,122.08429118773945,A,36.35767777,127.372971,13,1
